MobileNetV2 FP32 Inference Profiling
Batch size: 1 | Input: 3x224x224 | Runs: 10
Device: CPU | torch: 2.11.0+cpu
================================================================================

--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                            Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls                                                                      Input Shapes  Total KFLOPs  
--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                aten::batch_norm         0.07%      74.100us         0.64%     702.900us      23.430us            30                         [[1, 32, 28, 28], [32], [32], [32], [32], [], [], [], []]            --  
                  aten::hardtanh         0.08%      92.000us         0.62%     679.100us      11.318us            60                                          [[1, 960, 7, 7], [], [], [1, 960, 7, 7]]            --  
                aten::batch_norm         0.37%     404.200us         0.60%     665.300us      66.530us            10                      [[1, 320, 7, 7], [320], [320], [320], [320], [], [], [], []]            --  
                 aten::hardtanh_         0.17%     191.400us         0.60%     664.500us      33.225us            20                                                       [[1, 32, 112, 112], [], []]            --  
    aten::_batch_norm_impl_index         0.15%     159.800us         0.59%     652.600us      21.753us            30                         [[1, 96, 14, 14], [96], [96], [96], [96], [], [], [], []]            --  
         aten::native_batch_norm         0.49%     542.100us         0.59%     647.500us      21.583us            30                          [[1, 160, 7, 7], [160], [160], [160], [160], [], [], []]            --  
                     aten::clamp         0.57%     622.200us         0.58%     639.800us      12.796us            50                                      [[1, 192, 28, 28], [], [], [1, 192, 28, 28]]            --  
    aten::_batch_norm_impl_index         0.15%     162.700us         0.57%     628.800us      20.960us            30                         [[1, 32, 28, 28], [32], [32], [32], [32], [], [], [], []]            --  
                  aten::hardtanh         0.07%      80.300us         0.57%     624.200us      12.484us            50                                      [[1, 576, 14, 14], [], [], [1, 576, 14, 14]]            --  
                      aten::div_         0.21%     231.000us         0.56%     613.200us      61.320us            10                                                             [[1, 1280, 1, 1], []]            --  
                     aten::clamp         0.52%     576.600us         0.53%     587.100us       9.785us            60                                          [[1, 960, 7, 7], [], [], [1, 960, 7, 7]]            --  
                     aten::clamp         0.49%     535.400us         0.49%     543.900us      10.878us            50                                      [[1, 576, 14, 14], [], [], [1, 576, 14, 14]]            --  
                aten::batch_norm         0.04%      43.600us         0.49%     542.200us      27.110us            20                         [[1, 24, 56, 56], [24], [24], [24], [24], [], [], [], []]            --  
                aten::batch_norm         0.02%      21.600us         0.47%     514.200us      51.420us            10                 [[1, 1280, 7, 7], [1280], [1280], [1280], [1280], [], [], [], []]            --  
    aten::_batch_norm_impl_index         0.11%     116.400us         0.45%     498.600us      24.930us            20                         [[1, 24, 56, 56], [24], [24], [24], [24], [], [], [], []]            --  
    aten::_batch_norm_impl_index         0.05%      54.100us         0.45%     492.600us      49.260us            10                 [[1, 1280, 7, 7], [1280], [1280], [1280], [1280], [], [], [], []]            --  
         aten::native_batch_norm         0.33%     361.100us         0.44%     481.000us      16.033us            30                             [[1, 96, 14, 14], [96], [96], [96], [96], [], [], []]            --  
                  aten::hardtanh         0.13%     140.600us         0.43%     473.100us      23.655us            20                                    [[1, 32, 112, 112], [], [], [1, 32, 112, 112]]            --  
         aten::native_batch_norm         0.31%     345.500us         0.41%     454.700us      15.157us            30                             [[1, 32, 28, 28], [32], [32], [32], [32], [], [], []]            --  
         aten::native_batch_norm         0.36%     391.600us         0.39%     434.200us      43.420us            10                     [[1, 1280, 7, 7], [1280], [1280], [1280], [1280], [], [], []]            --  
                 aten::hardtanh_         0.06%      63.000us         0.39%     433.300us      14.443us            30                                                        [[1, 144, 56, 56], [], []]            --  
                 aten::hardtanh_         0.02%      22.900us         0.38%     413.400us      41.340us            10                                                       [[1, 96, 112, 112], [], []]            --  
                  aten::hardtanh         0.02%      20.400us         0.35%     390.500us      39.050us            10                                    [[1, 96, 112, 112], [], [], [1, 96, 112, 112]]            --  
                        aten::to         0.14%     148.800us         0.35%     382.200us      38.220us            10                                                              [[], [], [], [], []]            --  
         aten::native_batch_norm         0.26%     282.900us         0.34%     374.200us      18.710us            20                             [[1, 24, 56, 56], [24], [24], [24], [24], [], [], []]            --  
                  aten::hardtanh         0.05%      55.300us         0.34%     370.300us      12.343us            30                                      [[1, 144, 56, 56], [], [], [1, 144, 56, 56]]            --  
                     aten::clamp         0.33%     367.700us         0.34%     370.100us      37.010us            10                                    [[1, 96, 112, 112], [], [], [1, 96, 112, 112]]            --  
                aten::empty_like         0.29%     319.400us         0.32%     349.000us      11.633us            30                                            [[1, 144, 56, 56], [], [], [], [], []]            --  
                aten::batch_norm         0.02%      20.900us         0.31%     343.200us      34.320us            10                       [[1, 16, 112, 112], [16], [16], [16], [16], [], [], [], []]            --  
                     aten::clamp         0.30%     327.400us         0.30%     332.500us      16.625us            20                                    [[1, 32, 112, 112], [], [], [1, 32, 112, 112]]            --  
    aten::_batch_norm_impl_index         0.05%      58.400us         0.29%     322.300us      32.230us            10                       [[1, 16, 112, 112], [16], [16], [16], [16], [], [], [], []]            --  
                aten::batch_norm         0.02%      24.100us         0.29%     322.000us      32.200us            10                         [[1, 96, 56, 56], [96], [96], [96], [96], [], [], [], []]            --  
                       aten::sum         0.26%     290.600us         0.29%     320.800us      32.080us            10                                    [[1, 1280, 7, 7], [], [], [], [1, 1280, 1, 1]]            --  
                     aten::clamp         0.28%     309.300us         0.29%     315.000us      10.500us            30                                      [[1, 144, 56, 56], [], [], [1, 144, 56, 56]]            --  
                aten::batch_norm         0.02%      24.600us         0.27%     299.700us      29.970us            10                    [[1, 144, 28, 28], [144], [144], [144], [144], [], [], [], []]            --  
    aten::_batch_norm_impl_index         0.06%      63.700us         0.27%     297.900us      29.790us            10                         [[1, 96, 56, 56], [96], [96], [96], [96], [], [], [], []]            --  
                aten::batch_norm         0.04%      39.400us         0.27%     296.100us      29.610us            10                    [[1, 192, 14, 14], [192], [192], [192], [192], [], [], [], []]            --  
    aten::_batch_norm_impl_index         0.06%      64.200us         0.25%     275.100us      27.510us            10                    [[1, 144, 28, 28], [144], [144], [144], [144], [], [], [], []]            --  
    aten::_batch_norm_impl_index         0.05%      59.900us         0.24%     261.100us      26.110us            10                      [[1, 320, 7, 7], [320], [320], [320], [320], [], [], [], []]            --  
--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
Self CPU time total: 110.119ms
